id_powerplant,name_powerplant,gross_cap_ele,ini_cap_ele,gross_cap_th,name_status,name_technology,name_subtechnology,start_year,latitude,longitude,exact_coordinates,name_region_L2,NUTS2_code,name_region_L1,NUTS1_code,name_country,name_continent,max_well_depth,min_temp,max_temp,min_flow_rate,max_flow_rate,no_units,name_geothermal_area,name_turbine_type,turbine_man,name_owner,name_operator
1,"Gunung Salak I",60,60,0,"in operation","Geothermal energy","Geothermal power",1994,-6.7403,106.673,1,NULL,NULL,"West Java",NULL,Indonesia,Asia,NULL,240,310,NULL,NULL,10,Gunun-Salak,"Single flash","Ansaldo Energia S.p.A.",PLN,PLN
2,"Gunung Salak II",60,60,0,"in operation","Geothermal energy","Geothermal power",1994,-6.7403,106.673,1,NULL,NULL,"West Java",NULL,Indonesia,Asia,NULL,240,310,NULL,NULL,1,Gunun-Salak,"Single flash","Ansaldo Energia S.p.A.",PLN,PLN
3,"Gunung Salak III",60,60,0,"in operation","Geothermal energy","Geothermal power",1997,-6.7403,106.673,1,NULL,NULL,"West Java",NULL,Indonesia,Asia,NULL,240,310,NULL,NULL,3,Gunun-Salak,"Single flash","Ansaldo Energia S.p.A.",PLN,PLN
4,"Gunung Salak IV",65,65,NULL,"in operation","Geothermal energy","Geothermal power",1997,-6.7417,106.647,1,NULL,NULL,"West Java",NULL,Indonesia,Asia,NULL,240,310,NULL,NULL,1,Gunun-Salak,"Single flash","Fuji Electric Co. Ltd.","Chevron Geothermal Salak","Chevron Geothermal Salak"
5,"Gunung Salak V",65,65,NULL,"in operation","Geothermal energy","Geothermal power",2002,-6.7417,106.647,1,NULL,NULL,"West Java",NULL,Indonesia,Asia,NULL,240,310,NULL,NULL,1,Gunun-Salak,"Single flash","Fuji Electric Co. Ltd.","Chevron Geothermal Salak","Chevron Geothermal Salak"
6,"Gunung Salak VI",65,65,NULL,"in operation","Geothermal energy","Geothermal power",2002,-6.7417,106.647,1,NULL,NULL,"West Java",NULL,Indonesia,Asia,NULL,240,310,NULL,NULL,2,Gunun-Salak,"Single flash","Fuji Electric Co. Ltd.","Chevron Geothermal Salak","Chevron Geothermal Salak"
7,"Wayang Windu I",110,110,NULL,"in operation","Geothermal energy","Geothermal power",1999,-7.1978,107.626,1,NULL,NULL,"West Java",NULL,Indonesia,Asia,NULL,285,285,NULL,NULL,1,"Wayang Windu","Single flash","Fuji Electric Co. Ltd.","Star Energy Investment","Star Energy Investment"
8,"Wayang Windu II",117,117,NULL,"in operation","Geothermal energy","Geothermal power",1999,-7.1978,107.626,1,NULL,NULL,"West Java",NULL,Indonesia,Asia,NULL,285,285,NULL,NULL,4,"Wayang Windu","Single flash","Fuji Electric Co. Ltd.","Star Energy Investment","Star Energy Investment"
9,"Kamojang I",30,30,NULL,"in operation","Geothermal energy","Geothermal power",1983,-7.1386,107.785,1,NULL,NULL,"West Java",NULL,Indonesia,Asia,NULL,185,185,305,305,1,Kamojang,"Dry steam","Mitsubishi Group","Pertamina Geothermal Energy","Pertamina Geothermal Energy"
10,"Kamojang II",55,55,NULL,"in operation","Geothermal energy","Geothermal power",1987,-7.1386,107.785,1,NULL,NULL,"West Java",NULL,Indonesia,Asia,NULL,185,185,305,305,2,Kamojang,"Dry steam","Mitsubishi Group","Pertamina Geothermal Energy","Pertamina Geothermal Energy"
11,"Kamojang III",55,55,NULL,"in operation","Geothermal energy","Geothermal power",1987,-7.1386,107.785,1,NULL,NULL,"West Java",NULL,Indonesia,Asia,NULL,185,185,305,305,1,Kamojang,"Dry steam","Mitsubishi Group","Pertamina Geothermal Energy","Pertamina Geothermal Energy"
12,"Kamojang IV",63,63,NULL,"in operation","Geothermal energy","Geothermal power",2008,-7.1386,107.785,1,NULL,NULL,"West Java",NULL,Indonesia,Asia,NULL,185,185,305,305,1,Kamojang,"Dry steam","Fuji Electric Co. Ltd.","Pertamina Geothermal Energy","Pertamina Geothermal Energy"
13,"Kamojang V",35,35,NULL,"in operation","Geothermal energy","Geothermal power",2015,-7.1386,107.785,1,NULL,NULL,"West Java",NULL,Indonesia,Asia,NULL,185,185,305,305,5,Kamojang,"Dry steam","Fuji Electric Co. Ltd.","Pertamina Geothermal Energy","Pertamina Geothermal Energy"
14,"Darajat I",55,55,NULL,"in operation","Geothermal energy","Geothermal power",1994,-7.21625,107.738,1,NULL,NULL,"West Java",NULL,Indonesia,Asia,NULL,180,180,476,476,1,Darajat,"Dry steam","Mitsubishi Group","Chevron Geothermal Indonesia","Chevron Geothermal Indonesia"
15,"Darajat II",95,95,NULL,"in operation","Geothermal energy","Geothermal power",2000,-7.21803,107.727,1,NULL,NULL,"West Java",NULL,Indonesia,Asia,NULL,193,193,476,476,1,Darajat,"Dry steam","Mitsubishi Group","Chevron Geothermal Indonesia","Chevron Geothermal Indonesia"
16,"Darajat III",121,110,NULL,"in operation","Geothermal energy","Geothermal power",2007,-7.21803,107.727,1,NULL,NULL,"West Java",NULL,Indonesia,Asia,NULL,199,199,476,476,2,Darajat,"Dry steam","Mitsubishi Group","Chevron Geothermal Indonesia","Chevron Geothermal Indonesia"
17,Dieng,60,60,NULL,"in operation","Geothermal energy","Geothermal power",1998,-7.2228,110.01,0,NULL,NULL,"Central Java",NULL,Indonesia,Asia,NULL,NULL,NULL,NULL,NULL,1,Dieng,"Single flash","Ansaldo Energia S.p.A.",GeoDipa,GeoDipa
18,"Ulubelu 1",55,55,NULL,"in operation","Geothermal energy","Geothermal power",2014,-5.30879,104.573,1,NULL,NULL,Lampung,NULL,Indonesia,Asia,NULL,NULL,NULL,NULL,NULL,1,Ulubelu,"Dry steam","Toshiba Corporation",PLN,PLN
19,"Ulubelu 2",55,55,NULL,"in operation","Geothermal energy","Geothermal power",2014,-5.30547,104.577,1,NULL,NULL,Lampung,NULL,Indonesia,Asia,NULL,NULL,NULL,NULL,NULL,2,Ulubelu,"Dry steam","Toshiba Corporation",PLN,PLN
20,Ulumbu,5,5,0,"in operation","Geothermal energy","Geothermal power",2014,-8.72634,120.435,1,NULL,NULL,"East Nusa Tenggara",NULL,Indonesia,Asia,1887,NULL,NULL,NULL,NULL,2,Ulumbu,"Single flash","Fuji Electric Co. Ltd.",PLN,PLN
21,"Lahendong I",20,20,20,"in operation","Geothermal energy","Geothermal power",2001,1.25462,124.822,1,NULL,NULL,"North Sulawesi",NULL,Indonesia,Asia,NULL,NULL,NULL,NULL,NULL,1,Lahendong,"Single flash","Alstom SA",PLN,PLN
22,"Lahendong II",20,20,20,"in operation","Geothermal energy","Geothermal power",2007,1.25462,124.822,1,NULL,NULL,"North Sulawesi",NULL,Indonesia,Asia,NULL,NULL,NULL,NULL,NULL,1,Lahendong,"Single flash","Fuji Electric Co. Ltd.",PLN,PLN
23,"Lahendong III",20,20,20,"in operation","Geothermal energy","Geothermal power",2009,1.27124,124.836,1,NULL,NULL,"North Sulawesi",NULL,Indonesia,Asia,NULL,NULL,NULL,NULL,NULL,2,Lahendong,"Single flash","Fuji Electric Co. Ltd.",PLN,PLN
24,"Lahendong IV",20,20,20,"in operation","Geothermal energy","Geothermal power",2013,1.27124,124.836,1,NULL,NULL,"North Sulawesi",NULL,Indonesia,Asia,NULL,NULL,NULL,NULL,NULL,1,Lahendong,"Single flash","Fuji Electric Co. Ltd.",PLN,PLN
25,"Lahendong B1",7.5,7.5,0,"in operation","Geothermal energy","Geothermal power",2017,1.27124,124.836,1,NULL,NULL,"North Sulawesi",NULL,Indonesia,Asia,NULL,NULL,NULL,NULL,NULL,1,Lahendong,ORC,NULL,BPPT,"Badan Pengkajian Dan Penerapan Teknologi"
26,Mataloko,2.5,2.5,0,"in operation","Geothermal energy","Geothermal power",2013,-8.83352,121.061,1,NULL,NULL,"East Nusa Tenggara",NULL,Indonesia,Asia,NULL,NULL,NULL,NULL,NULL,1,Mataloko,"Single flash","Fuji Electric Co. Ltd.",PLN,PLN
27,Sibayak,12,12,NULL,"in operation","Geothermal energy","Geothermal power",1996,3.1925,98.5019,0,NULL,NULL,"North Sumatra",NULL,Indonesia,Asia,NULL,NULL,NULL,NULL,NULL,5,Sibayak,"Single flash",NULL,NULL,"Pertamina Geothermal Energy"
28,Qingshui,0.1,0.1,NULL,"in operation","Geothermal energy","Geothermal power",2010,24.2461,121.712,0,NULL,NULL,"Taiwan Province",NULL,China,Asia,NULL,110,110,NULL,NULL,1,Qingshui,Kalina,"Energent Corporation","Shanghai Shenghe New Energy Resources Science","Shanghai Shenghe New Energy Resources Science"
29,Fang,0.3,0.3,NULL,"in operation","Geothermal energy","Geothermal power",1989,19.9647,99.1553,1,NULL,NULL,NULL,NULL,Thailand,Asia,NULL,NULL,NULL,NULL,NULL,1,Fang,ORC,"Ormat Technologies Inc","Ormat Technologies Inc",NULL
30,"Bacman I",110,110,NULL,"in operation","Geothermal energy","Geothermal power",1993,13.0549,123.968,1,NULL,NULL,Sorsogon,NULL,Philippines,Asia,NULL,NULL,NULL,NULL,NULL,2,"Bacman Laguna","Single flash","Ansaldo Energia S.p.A.",NULL,"Energy Development Corp. (EDC)"
31,"Bacman II - Cawayan",20,20,NULL,"in operation","Geothermal energy","Geothermal power",1994,13.0349,123.937,1,NULL,NULL,NULL,NULL,Philippines,Asia,NULL,NULL,NULL,NULL,NULL,1,"Bacman Laguna","Single flash","Mitsubishi Group",NULL,"Energy Development Corp. (EDC)"
33,"Mindanao I",52,52,NULL,"in operation","Geothermal energy","Geothermal power",1996,7.01071,125.092,0,NULL,NULL,Cotabato,NULL,Philippines,Asia,NULL,NULL,NULL,NULL,NULL,2,Mindanao,"Single flash","Mitsubishi Group",NULL,"Energy Development Corp. (EDC)"
34,"Mindanao II",54,54,NULL,"in operation","Geothermal energy","Geothermal power",1999,6.999,125.195,0,NULL,NULL,Cotabato,NULL,Philippines,Asia,NULL,NULL,NULL,NULL,NULL,2,Mindanao,"Double flash","Mitsubishi Group",NULL,"Energy Development Corp. (EDC)"
35,"Palinpinon I",112.5,112.5,NULL,"in operation","Geothermal energy","Geothermal power",1983,9.31381,123.201,0,NULL,NULL,"Negros Oriental",NULL,Philippines,Asia,NULL,NULL,NULL,NULL,NULL,1,"Southern Negros","Single flash","Fuji Electric Co. Ltd.",NULL,"Energy Development Corp. (EDC)"
36,"Palinpinon II - Okoy 5",20,20,NULL,"in operation","Geothermal energy","Geothermal power",1994,9.7367,122.832,0,NULL,NULL,"Negros Oriental",NULL,Philippines,Asia,NULL,NULL,NULL,NULL,NULL,3,"Southern Negros","Single flash","Fuji Electric Co. Ltd.",NULL,"Energy Development Corp. (EDC)"
37,"Palinpinon II - Nasuji",20,20,NULL,"in operation","Geothermal energy","Geothermal power",1994,9.7367,122.832,0,NULL,NULL,"Negros Oriental",NULL,Philippines,Asia,NULL,NULL,NULL,NULL,NULL,3,"Southern Negros","Single flash","Fuji Electric Co. Ltd.",NULL,"Energy Development Corp. (EDC)"
38,"Palinpinon II - Sogongon",40,40,NULL,"in operation","Geothermal energy","Geothermal power",1995,9.7367,122.832,0,NULL,NULL,"Negros Oriental",NULL,Philippines,Asia,NULL,NULL,NULL,NULL,NULL,2,"Southern Negros","Single flash","Fuji Electric Co. Ltd.",NULL,"Energy Development Corp. (EDC)"
39,"Tongonan I",112.5,112.5,NULL,"in operation","Geothermal energy","Geothermal power",1983,11.1729,124.632,1,NULL,NULL,Leyte,NULL,Philippines,Asia,NULL,NULL,NULL,NULL,NULL,2,Leyte,"Double flash","Mitsubishi Group",NULL,"Energy Development Corp. (EDC)"
40,"Tongonan I Binary",19.5,19.5,NULL,"in operation","Geothermal energy","Geothermal power",1997,11.1478,124.641,1,NULL,NULL,Leyte,NULL,Philippines,Asia,NULL,NULL,NULL,NULL,NULL,4,Leyte,ORC,"Ormat Technologies Inc",NULL,"Energy Development Corp. (EDC)"
41,"Upper Mahiao",136.48,136.48,NULL,"in operation","Geothermal energy","Geothermal power",1996,11.1726,124.63,1,NULL,NULL,Leyte,NULL,Philippines,Asia,NULL,NULL,NULL,NULL,NULL,3,Leyte,"Single flash","General Electric",NULL,"Energy Development Corp. (EDC)"
42,"Upper Mahiao Binary",5.5,5.5,NULL,"in operation","Geothermal energy","Geothermal power",1996,11.1764,124.632,1,NULL,NULL,Leyte,NULL,Philippines,Asia,NULL,NULL,NULL,NULL,NULL,NULL,Leyte,ORC,"Ormat Technologies Inc",NULL,"Energy Development Corp. (EDC)"
43,Malitbog,232.5,232.5,NULL,"in operation","Geothermal energy","Geothermal power",1997,11.1514,124.649,1,NULL,NULL,Leyte,NULL,Philippines,Asia,NULL,NULL,NULL,NULL,NULL,2,Leyte,"Single flash","Fuji Electric Co. Ltd.",NULL,"Energy Development Corp. (EDC)"
44,"Malitbog - Bottoming",14.56,14.56,NULL,"in operation","Geothermal energy","Geothermal power",1997,11.1514,124.649,1,NULL,NULL,Leyte,NULL,Philippines,Asia,NULL,NULL,NULL,NULL,NULL,1,Leyte,ORC,"General Electric",NULL,"Energy Development Corp. (EDC)"
45,Mahandong,180,180,NULL,"in operation","Geothermal energy","Geothermal power",1997,11.1531,124.65,1,NULL,NULL,Leyte,NULL,Philippines,Asia,NULL,NULL,NULL,NULL,NULL,1,Leyte,"Single flash","Toshiba Corporation",NULL,"Energy Development Corp. (EDC)"
46,"Mahandong Topping",19.5,19.5,NULL,"in operation","Geothermal energy","Geothermal power",1997,11.1531,124.65,1,NULL,NULL,Leyte,NULL,Philippines,Asia,NULL,NULL,NULL,NULL,NULL,2,Leyte,ORC,"Ormat Technologies Inc",NULL,"Energy Development Corp. (EDC)"
47,"Unit 1 & 2",120,120,NULL,"in operation","Geothermal energy","Geothermal power",1979,13.4655,123.649,1,NULL,NULL,Albay,NULL,Philippines,Asia,NULL,NULL,NULL,NULL,NULL,1,Tiwi-Albay,"Single flash","Toshiba Corporation",NULL,"Chevron Geothermal Philippines"
48,"Unit 5 & 6",114,114,NULL,"in operation","Geothermal energy","Geothermal power",1982,13.4594,123.64,1,NULL,NULL,Albay,NULL,Philippines,Asia,NULL,NULL,NULL,NULL,NULL,1,Tiwi-Albay,"Single flash","Toshiba Corporation",NULL,"Chevron Geothermal Philippines"
49,"Makban A",126.4,126.4,126.4,"in operation","Geothermal energy","Geothermal power",1979,14.0881,121.228,1,NULL,NULL,Laguna,NULL,Philippines,Asia,900,345,345,NULL,NULL,2,Makban,"Single flash","Mitsubishi Group",NULL,"Chevron Geothermal Philippines"
50,"Makban B",126.4,126.4,126.4,"in operation","Geothermal energy","Geothermal power",1980,14.0881,121.228,1,NULL,NULL,Laguna,NULL,Philippines,Asia,900,345,345,NULL,NULL,2,Makban,"Single flash","Mitsubishi Group",NULL,"Chevron Geothermal Philippines"
