name,capacity,country,state
Boca de Pozo Geothermal Power Plant Costa Rica,5,Costa Rica,Guanacaste
Miravalles I and II Geothermal Power Plant Costa Rica,115,Costa Rica,Guanacaste
Miravalles V Geothermal Power Plant Costa Rica,15.45,Costa Rica,Guanacaste
Miravalles III Geothermal Power Plant Costa Rica,27.5,Costa Rica,Guanacaste
Pailas Geothermal Power Plant Costa Rica,36,Costa Rica,Guanacaste
Ahuachapan Geothermal Power Plant El Salvador,95,El Salvador,Ahuachapan
Berlin Geothermal Power Plant El Salvador,109,El Salvador,Usulutan
Amatitlan Geothermal Power Plant Guatemala,25.2,Guatemala,Escuintla
Zunil Geothermal Power Plant Guatemala,28,Guatemala,Quetzaltenango
Krafla Geothermal Power Station Iceland,60,Iceland,Nordhurland Eystra
Hellisheidi Geothermal Power Plant Iceland,303,Iceland,Reykjavik
Svartsengi Geothermal CHP Power Station Iceland,74.4,Iceland,Reykjavik
Nesjavellir Geothermal CHP Power Plant Iceland,120,Iceland,Sudhurland
Reykjanes Geothermal CHP Power Station Iceland,150,Iceland,Sudhurnes
Larderello Geothermal Power Station Italy,562.5,Italy,Pisa
Onuma Geothermal Power Plant Japan,9.5,Japan,Akita
Sumikawa Geothermal Power Plant Japan,50,Japan,Akita
Uenotai Geothermal Power Plant Japan,28.8,Japan,Akita
Yanaizu-Nishiyama Geothermal Power Plant Japan,65,Japan,Fukushima
Mori Geothermal Power Plant Japan,50,Japan,Hokkaido
Kakkonda Geothermal Power Plant Japan,80,Japan,Iwate
Matsukawa Geothermal Power Plant Japan,23.5,Japan,Iwate
Otake (Ohdake) Geothermal Power Plant Japan,12.5,Japan,Kagoshima
Yamagawa Geothermal Power Plant Japan,30,Japan,Kagoshima
Ogiri (Daiquiri) Geothermal Power Plant Japan,30,Japan,Kagoshima
Kumamoto Geothermal Power Plant Japan,2,Japan,Kumamoto
Suginoi Geothermal Power Plant Japan,3,Japan,Kumamoto
Onikobe Geothermal Power Plant Japan,12.5,Japan,Miyagi
Takigami Geothermal Power Plant Japan,28,Japan,Miyazaki
Hatchobaru Geothermal PP,110,Japan,Oita
Kirishima Kokusai Hotel Geothermal PP,0.1,Japan,Oita
Kuju Geothermal Power Plant Japan,2,Japan,Oita
Takenoyu Geothermal Power Plant Japan,0.05,Japan,Oita
Hachijojima Geothermal Power Plant Japan,3.3,Japan,Tokyo
Olkaria I Geothermal Power Station Kenya,45,Kenya,Rift Valley
Olkaria II Geothermal Power Station Kenya,70,Kenya,Rift Valley
Olkaria III Geothermal Power Station Kenya,48,Kenya,Rift Valley
Cerro Prieto I Geothermal Plant Mexico,180,Mexico,Baja California
Cerro Prieto II Geothermal Plant Mexico,220,Mexico,Baja California
Cerro Prieto III Geothermal Plant Mexico,220,Mexico,Baja California
Cerro Prieto IV Geothermal Plant Mexico,100,Mexico,Baja California
Tres Virgenes Geothermal Plant Mexico,10,Mexico,Baja California Sur
Los Azufres Geothermal Power Plant Mexico,195,Mexico,MichoacÃ¡n
Humeros Geothermal Plant Mexico,40,Mexico,Puebla
